DATA,GRUPO,TIPO,ETAPA,TOTAL_IMPRESSOES,TOTAL_CLIQUES,TOTAL_CUSTO,TOTAL_SESSAO,TOTAL_INSCRICOES,TOTAL_MATRICULADOS,LEADS,CTR,CR,CPS,TX_LEADS,TX_INSCRITOS,CPI,TX_MATRICULADOS,CPMAT,CPA
2025-01-31,SEARCH,SEARCH,FUNDO,5666,137,812.3269449999999,150,7,0,22,0.024179315213554535,1.094890510948905,5.415512966666666,0.14666666666666667,0.04666666666666667,116.04670642857141,0.0,,28.011273965517237
2025-01-31,TIKTOK,TIKTOK,TOPO,1967455,4074,8314.12,1255,0,0,2,0.002070695390745913,0.3080510554737359,6.624796812749005,0.0015936254980079682,0.0,,,,4.225824732967209e-06
2025-01-31,VALIDAÇÃO,VALIDAÇÃO,MEIO,0,0,0.0,25,0,0,0,,,0.0,0.0,0.0,,,,
2025-01-31,SEARCH,OPORTUNIDADES,FUNDO,66899,2975,11631.274751,3322,71,4,403,0.04447002197342262,1.1166386554621848,3.501286800421433,0.12131246237206503,0.021372667068031308,163.8207711408451,0.056338028169014086,2907.81868775,24.53855432700422
2025-01-31,SEARCH,DV360,MEIO,4876851,223898,21373.87964,5911,0,0,1,0.04591036306009759,0.026400414474448186,3.6159498629673488,0.0001691761123329386,0.0,,,,0.09546257510116213
2025-01-30,META,META,MEIO,6735417,129711,59510.530001000014,78488,0,0,5,0.01925805039242559,0.6050990278388109,0.7582118285725208,6.370400570787891e-05,0.0,,,,0.4587932403651195
2025-01-30,SEARCH,DV360,TOPO,10105820,12981,47958.87203700001,559,0,0,2,0.0012845073432932706,0.04306293814035898,85.79404657781754,0.0035778175313059034,0.0,,,,4.745668539217996e-06
2025-01-30,SEARCH,SEARCH,FUNDO,6001,231,1052.381275,200,8,0,15,0.03849358440259957,0.8658008658008658,5.261906375,0.075,0.04,131.547659375,0.0,,45.75570760869565
2025-01-30,VALIDAÇÃO,VALIDAÇÃO,MEIO,0,0,0.0,14,0,0,0,,,0.0,0.0,0.0,,,,
2025-01-30,DEMAND GEN,DEMAND GEN,MEIO,736741,18819,3194.301246,6133,3,0,19,0.02554357637215792,0.32589404325415805,0.5208382921897929,0.0030979944562204466,0.0004891570194032284,1064.767082,0.0,,0.16973809692332217
2025-01-30,TIKTOK,TIKTOK,TOPO,2137506,4619,8822.69,1410,0,0,1,0.002160929606747303,0.3052608789781338,6.25722695035461,0.0007092198581560284,0.0,,,,4.127562682864984e-06
2025-01-30,TIKTOK,TIKTOK,MEIO,494716,3815,1690.2999999999997,1047,0,0,2,0.007711495080005498,0.2744429882044561,1.6144221585482328,0.0019102196752626551,0.0,,,,0.4430668414154652
2025-01-30,META,META,TOPO,2954891,8665,16449.81,2394,1,1,1,0.0029324262722381297,0.27628390075014425,6.8712656641604015,0.0004177109440267335,0.0004177109440267335,16449.81,1.0,16449.81,5.566976920637682e-06
2025-01-30,SEARCH,MICROSOFT,MEIO,217953,1672,305.3700000000001,501,0,0,0,0.007671378691736292,0.2996411483253589,0.6095209580838326,0.0,0.0,,,,0.18263755980861252
2025-01-30,SEARCH,MARCAS,FUNDO,91672,33896,65737.486087,33265,993,7,4762,0.3697530325508334,0.9813842341279208,1.9761757428829099,0.143153464602435,0.029851194949646775,66.20089233333333,0.007049345417925478,9391.069441,11.422673516420504
2025-01-30,SEARCH,MICROSOFT,FUNDO,205234,5913,23627.06,5598,128,6,787,0.02881101571864311,0.9467275494672754,4.220625223294034,0.1405859235441229,0.022865309038942478,184.58640625,0.046875,3937.8433333333337,25.82192349726776
2025-01-30,DEMAND GEN,DEMAND GEN,FUNDO,650399,11292,13511.752129,1437,4,0,36,0.01736165031004045,0.12725823591923485,9.402750263743911,0.025052192066805846,0.0027835768963117608,3377.93803225,0.0,,337.79380322500003
