,DATA,GRUPO,TIPO,ETAPA,TOTAL_IMPRESSOES,TOTAL_CLIQUES,TOTAL_CUSTO,TOTAL_SESSAO,TOTAL_INSCRICOES,TOTAL_MATRICULADOS,LEADS,CTR,CR,CPS,TX_LEADS,TX_INSCRITOS,CPI,TX_MATRICULADOS,CPMAT,CPA
425,2025-01-12,META,META,FUNDO,38938630,179698,549592.0099999999,71739,921,4,3478,0.0046149029896532055,0.3992198021124331,7.660993462412354,0.048481300269030796,0.012838205160373019,596.7339956568945,0.004343105320304018,137398.00249999997,124.93566947033415
428,2025-01-12,SEARCH,MICROSOFT,MEIO,3232292,22527,10520.779999999997,7788,2,1,6,0.006969357966421351,0.3457184711679318,1.350896250642013,0.0007704160246533128,0.00025680534155110427,5260.3899999999985,0.5,10520.779999999997,0.46702978647844795
429,2025-01-12,DEMAND GEN,DEMAND GEN,FUNDO,2447356,28746,35467.011865,9186,17,1,79,0.011745737032127734,0.3195575036526821,3.860985397888091,0.008600043544524276,0.001850642281733072,2086.2948155882355,0.058823529411764705,35467.011865,369.4480402604167
432,2025-01-12,DEMAND GEN,DEMAND GEN,MEIO,31354990,866799,62419.129805,284534,11,1,46,0.02764469068559741,0.32825833901515805,0.21937318494450575,0.00016166784988788687,3.86597032340599e-05,5674.466345909091,0.09090909090909091,62419.129805,0.07201107731434854
435,2025-01-12,SEARCH,CURSOS,FUNDO,252042,15104,87766.59575099999,11956,284,39,1125,0.05992652018314408,0.7915783898305084,7.340799243141518,0.0940950150552024,0.023753763800602207,309.03730898239434,0.13732394366197184,2250.4255320769225,62.289989887154
438,2025-01-12,PMAX,PMAX,FUNDO,7175130,188153,283493.341628,71189,540,7,2112,0.02622293951468475,0.37835697544020025,3.9822632938796727,0.02966750481113655,0.007585441571029232,524.9876696814815,0.012962962962962963,40499.048804000005,106.89794179034692
439,2025-01-12,TIKTOK,TIKTOK,FUNDO,17528684,60389,89998.21000000002,50643,34,2,137,0.0034451530987722754,0.8386129924323966,1.7771105582212747,0.002705210986710898,0.000671366230278617,2647.006176470589,0.058823529411764705,44999.10500000001,526.305321637427
441,2025-01-12,SEARCH,MARCAS,FUNDO,37541,15491,25151.687128999994,15443,541,7,2365,0.41264217788551183,0.9969014266348202,1.6286788272356403,0.1531438192061128,0.03503205335750826,46.491103750462095,0.012939001848428836,3593.0981612857136,8.655088482105986
445,2025-01-11,SEARCH,CURSOS,FUNDO,267369,13878,75529.87666899999,11001,244,33,1041,0.05190579311737711,0.7926934716817985,6.865728267339332,0.09462776111262612,0.022179801836196708,309.54867487295076,0.13524590163934427,2288.784141484848,58.7781141392996
447,2025-01-11,DEMAND GEN,DEMAND GEN,MEIO,31464822,857258,62983.686152999995,276310,9,1,50,0.027244965822466754,0.32231836856582263,0.22794573541674204,0.00018095617241504109,3.2572111034707395e-05,6998.187350333333,0.1111111111111111,62983.686152999995,0.07347109756106096
448,2025-01-11,SEARCH,MICROSOFT,FUNDO,1233761,7913,20871.519999999997,5310,66,6,298,0.006413721944525722,0.6710476431189183,3.930606403013182,0.05612052730696798,0.012429378531073447,316.2351515151515,0.09090909090909091,3478.586666666666,57.33934065934065
450,2025-01-11,PMAX,PMAX,FUNDO,3371990,73513,183622.94473,33793,402,6,1711,0.021801072956918615,0.45968740222817733,5.433756835143373,0.05063178764832953,0.011895954783535051,456.7734943532338,0.014925373134328358,30603.824121666665,86.90153560340747
